TYPEID,GROUPID,TYPENAME,MARKETGROUPID
26520,186,Gallente Elite Battlecruiser Wreck,
26521,186,Gallente Elite Battleship Wreck,
26522,186,Gallente Elite Cruiser Wreck,
26523,186,Gallente Elite Destroyer Wreck,
26524,186,Gallente Elite Frigate Wreck,
26525,186,Gallente Elite Industrial Wreck,
26526,186,Gallente Elite Mining Barge Wreck,
26527,186,Gallente Freighter Wreck,
26528,186,Gallente Frigate Wreck,
26529,186,Gallente Industrial Wreck,
26530,186,Gallente Mining Barge Wreck,
26531,186,Gallente Supercarrier Wreck,
26532,186,Gallente Rookie ship Wreck,
26533,186,Gallente Shuttle Wreck,
26534,186,Gallente Titan Wreck,
26535,186,Minmatar Battlecruiser Wreck,
26536,186,Minmatar Battleship Wreck,
26538,186,Minmatar Carrier Wreck,
26539,186,Minmatar Cruiser Wreck,
26540,186,Minmatar Destroyer Wreck,
26541,186,Minmatar Dreadnought Wreck,
26542,186,Minmatar Elite Battlecruiser Wreck,
26543,186,Minmatar Elite Battleship Wreck,
26544,186,Minmatar Elite Cruiser Wreck,
26545,186,Minmatar Elite Destroyer Wreck,
26546,186,Minmatar Elite Frigate Wreck,
26547,186,Minmatar Elite Industrial Wreck,
26548,186,Minmatar Elite Mining Barge Wreck,
26549,186,Minmatar Freighter Wreck,
26550,186,Minmatar Frigate Wreck,
26551,186,Minmatar Industrial Wreck,
26552,186,Minmatar Mining Barge Wreck,
26553,186,Minmatar Supercarrier Wreck,
26554,186,Minmatar Rookie ship Wreck,
26555,186,Minmatar Shuttle Wreck,
26556,186,Minmatar Titan Wreck,
26557,186,Frigate Wreck,
26558,186,Cruiser Wreck,
26559,186,Battleship Wreck,
26560,186,Pirate Wreck,
26561,186,Angel Small Wreck,
26562,186,Angel Medium Wreck,
26563,186,Angel Large Wreck,
26564,186,Angel Small Commander Wreck,
26565,186,Angel Large Commander Wreck,
26566,186,Angel Officer Wreck,
26567,186,Blood Small Wreck,
26568,186,Blood Medium Wreck,
26569,186,Blood Large Wreck,
26570,186,Blood Small Commander Wreck,
26571,186,Blood Medium Commander Wreck,
26572,186,Blood Officer Wreck,
26573,186,Guristas Small Wreck,
26574,186,Guristas Medium Wreck,
26575,186,Guristas Large Wreck,
26576,186,Guristas Small Commander Wreck,
26577,186,Guristas Medium Commander Wreck,
26578,186,Guristas Officer Wreck,
26579,186,Sanshas Small Wreck,
26580,186,Sanshas Medium Wreck,
26581,186,Sanshas Large Wreck,
26582,186,Sanshas Small Commander Wreck,
26583,186,Sanshas Medium Commander Wreck,
26584,186,Sanshas Officer Wreck,
26585,186,Serpentis Small Wreck,
26586,186,Serpentis Medium Wreck,
26587,186,Serpentis Large Wreck,
26588,186,Serpentis Small Commander Wreck,
26589,186,Serpentis Medium Commander Wreck,
26590,186,Serpentis Officer Wreck,
26591,186,Rogue Small Wreck,
26592,186,Rogue Medium Wreck,
26593,186,Rogue Large Wreck,
26594,186,Rogue Elite Small Wreck,
26595,186,Rogue Elite Medium Wreck,
26596,186,Rogue Officer Wreck,
26597,716,Cryptic Tuner Data Interface,
26598,356,Cryptic Tuner Data Interface Blueprint,
26599,716,Esoteric Tuner Data Interface,
26600,356,Esoteric Tuner Data Interface Blueprint,
26601,716,Incognito Tuner Data Interface,
26602,356,Incognito Tuner Data Interface Blueprint,
26603,716,Occult Tuner Data Interface,
26604,356,Occult Tuner Data Interface Blueprint,
26605,306,Drone Hold,
26606,494,Sansha Deadspace Outpost,
26607,134,Civilian Miner Blueprint,
26657,306,Angel Waste,
26658,306,Angel Wreck,
26659,306,Angel Derelict,
26660,306,Angel Hulk,
26661,819,Gistii Domination Scavenger,
26662,306,Blood Waste,
26663,306,Blood Wreck,
26664,306,Blood Derelict,
26665,306,Blood Hulk,
26666,306,Guristas Waste,
26667,306,Guristas Wreck,
26668,306,Guristas Derelict,
26669,306,Guristas Hulk,
26670,306,Sansha Waste,
26671,306,Sansha Wreck,
26672,306,Sansha Derelict,
26673,306,Sansha Hulk,
26674,306,Serpentis Waste,
26675,306,Serpentis Wreck,
26676,306,Serpentis Derelict,
26677,306,Serpentis Hulk,
26678,820,Gistum Domination Racer,
26679,821,Gist Domination Murderer,
26680,819,Corpii Monk,
26682,820,Dark Corpum Believer,
26683,821,Dark Corpus Preacher,
26684,819,Dread Pithi Terminator,
26686,820,Dread Pithum Vindicator,
26687,819,True Centii Revelator,
26688,819,Shadow Coreli Antagonist,
26689,821,Dread Pith Protagonist,
26690,820,True Centum General,
26691,820,Shadow Corelum Infantry,
26692,821,True Centus Preacher,
26694,821,Shadow Grand Admiral,
26696,283,Sidura Meisana,
26699,186,Angel Medium Commander Wreck,
26700,186,Blood Large Commander Wreck,
26701,186,Guristas Large Commander Wreck,
26702,186,Sanshas Large Commander Wreck,
26703,186,Serpentis Large Commander Wreck,
26704,319,Storage Facility - radioactive stuff and small arms,
26706,319,Radioactive Cargo Rig,
26707,314,Hidden Data Sheets,
26708,283,Port Rolette Residents,
26709,383,Secret Angel Facility,
26710,526,Prototype Nuclear Small Arms,
26712,604,Blood Phantom - Ectoplasm,
26713,467,Flawed Gneiss,
26714,821,Blood Factory Overseer,
26715,306,Viral Stash,
26716,821,Centus Colony General,
26717,520,Serpentis Prankster,
26718,520,Serpentis Prankster_2,
26719,306,Madcat's Stash,
26720,319,Starbase Silo,
26721,319,Starbase Ultra-Fast Silo,
26722,319,Starbase Ship-Maintenance Array,
26723,319,Starbase Capital Ship Maintenance Array,
26724,319,Starbase Capital Shipyard,
26725,319,Starbase Stealth Emitter Array,
26726,319,Starbase Mobile Factory,
26727,319,Starbase Explosion Dampening Array,
26728,319,Starbase Moon Mining Silo,
26729,319,Minmatar Starbase Control Tower_Tough_Good Loot,
26731,494,Cartel Research Outpost,
26732,319,Amarr Starbase Control Tower_Tough_Good Loot,
26733,494,Blood Research Outpost,
26734,319,Caldari Starbase Control Tower_Tough_Good Loot,
26735,494,Guristas Research Outpost,
26736,494,Sansha Research Outpost,
26737,319,Gallente Starbase Control Tower_Tough_Good Loot,
26738,494,Serpentis Research Outpost,
26739,226,Fortified Bursar,
26740,319,Bursar,
26741,533,Kaerleiks Bjorn,
26742,534,Einhas Malak,
26743,226,Amarr Prorator Industrial,
26744,533,Cura Gigno,
26745,821,High Ritualist Padio Atour,
26746,226,Caldari Crane Industrial,
26747,383,Guristas Annihilation Missile Battery_Uber,
26748,533,Teinei Kuma,
26749,821,Terrorist Overlord Inzi Kika,
26750,622,Sansha Miner,
26751,319,Fragmented Cathedral I_Under Construction,
26752,595,Angel Transport,
26753,819,chantal testing thingy,
26754,603,Corpus Messiah,
26755,604,Gurista Guerilla Special Acquirement Division Captain,
26756,820,Gurista Special Acquirement Captain,
26757,821,Sansha Shipyard Foreman,
26758,820,Serpentis Drug Carrier,
26759,136,Heavy Assault Missile Launcher I Blueprint,340
26760,166,Mjolnir Heavy Assault Missile Blueprint,975
26761,166,Inferno Heavy Assault Missile Blueprint,975
26762,166,Scourge Heavy Assault Missile Blueprint,975
26763,820,Rogue Drone Logistic Overseer,
26764,820,Rogue Production Captain,
26765,820,Hive Overseer,
26766,820,Hive Logistic Captain,
26767,527,Dread Guristas Envoy_destroyer,
26768,820,Colony Captain,
26769,821,Rogue Drone Liaisons Captain,
26770,821,Independence Queen,
26771,821,Radiant Hive Mother,
26772,821,Hierarchy Hive Queen,
26773,283,Regiment of Marines,
26774,314,Crates of Long-limb Roes,
26775,283,Group of Janitors,
26776,314,Barrels of Soil,
26777,284,Barrels Of Viral Agent,
26778,314,Crates of Holoreels,
26779,314,Crates of Electronic Parts,
26780,313,Crates of Crystal Eggs,
26781,314,Crates of Transmitters,
26782,314,Barrels of Fertilizer,
26783,283,Group of Homeless,
26784,314,Heap-Load of Garbage,
26785,314,Crates of Frozen Plant Seeds,
26786,314,Crates of Spirits,
26787,314,Crates of Rocket Fuel,
26788,283,Gang of Miners,
26789,526,Cache of Pistols,
26790,314,Crates of Tobacco,
26791,314,Crates of Construction Blocks,
26792,314,Barrels of Water,
26793,821,Colonial Master Diabolus Maytor,
26794,226,Gallente Viator Industrial,
26795,533,Ours De Soin,
26796,821,Privateer Admiral Heysus Sarpati,
26797,821,Black Caesar,
26798,821,Naberius Marquis,
26799,821,Dread Guristas Colonel,
26800,821,Angel Colonel,
26801,821,Shadow Serpentis Colonel,
26802,821,True Sansha's Colonel,
26803,821,Dark Blood Colonel,
26806,534,Haruo Wako,
26807,821,Jorun 'Red Legs' Greaves,
26810,821,Serpentis Tournament Host,
26812,821,Sepentis Regional Baron Arain Percourt,
26818,821,Serpentis Regional Baron - Arain Percourt,
26832,821,Captain Blood Raven,
26833,821,Serpentis Holder,
26840,27,Raven State Issue,1620
26842,27,Tempest Tribal Issue,1620
26843,107,Tempest Tournament Issue TEST Blueprint,
26844,821,Rubin Sozar,
26846,283,Okelle Alash,
26848,534,Okelle Alash_,
26849,361,Tournament Bubble TEST,
26850,371,Tournament Bubble TEST Blueprint,
26851,452,Fools Crokite,
26852,450,Flawed Arkonor,
26853,319,Drug Lab Crash,
26854,319,Drug Lab Exile,
26855,319,Drug Lab Mindflood,
26856,383,Serpentis Crash Storage Platform,
26857,383,Serpentis Exile Storage Platform,
26858,383,Serpentis Mindflood Storage Platform,
26859,533,Hodura Amaba,
26860,226,Docked Mammoth,
26862,819,Jols Eytur,
26863,819,Vlye Cadille,
26864,819,Eha Hidaiki,
26865,819,Gamat Hakoot,
26866,819,Elgur Erinn,
26867,533,Nikmar Eitan,
26868,456,Flawed Jaspet,
26869,353,QA ECM Burst,
26870,160,Tournament ECM Burst Blueprint,
26871,798,Dini Mator,
26878,533,Kazah Durn,
26879,533,Marin Matola,
26880,533,Motoh Olin,
26881,821,Dark Templar Uthius,
26882,534,Quertah Bleu,
26883,533,Suard Fish,
26884,534,Hakirim Grautur,
26885,534,Oushii Torun,
26888,361,Mobile Large Warp Disruptor II,405
26889,371,Mobile Large Warp Disruptor II Blueprint,
26890,361,Mobile Medium Warp Disruptor II,405
26891,371,Mobile Medium Warp Disruptor II Blueprint,
26892,361,Mobile Small Warp Disruptor II,405
26893,371,Mobile Small Warp Disruptor II Blueprint,
26894,319,Habitation Module - Breeding Facility,
26895,319,Amarrian Breeding Facility,
26896,319,Amarr Battlestation_Event,
26897,319,Sisters of EVE Aid Station,
26898,319,Asteroid Slave Mine,
26899,319,Unlicensed Mindclash Arena,
26900,319,Broadcast Tower,
26901,283,Breeder Slave,
26902,526,Fedo,23
26903,526,Military Intelligence Report,
26904,526,Secure Coded Package,
26905,526,Slave Ownership Record,
26906,526,Slave Manifests,
26907,283,Starkmanir Slave,
26908,283,Valkears,
26911,226,Avatar Wreck,
26912,325,Small Remote Armor Repairer II,1059
26913,325,Medium Remote Armor Repairer II,1058
26914,325,Large Remote Armor Repairer II,1057
26915,350,Large Remote Armor Repairer II Blueprint,
26916,350,Medium Remote Armor Repairer II Blueprint,
26917,350,Small Remote Armor Repairer II Blueprint,
26918,186,Overseer Frigate Wreck,
26919,186,Overseer Cruiser Wreck,
26920,186,Overseer Battleship Wreck,
26925,778,Drone Damage Rig I,
26926,787,Drone Damage Rig I Blueprint,
26927,778,Drone Damage Rig II,
26928,787,Drone Damage Rig II Blueprint,
26929,781,Small Processor Overclocking Unit I,1222
26930,787,Small Processor Overclocking Unit I Blueprint,1252
26931,781,Small Processor Overclocking Unit II,1222
26932,787,Small Processor Overclocking Unit II Blueprint,
26933,186,Mission Generic Large Wreck,
26934,186,Mission Generic Medium Wreck,
26935,186,Mission Generic Small Wreck,
26939,186,CONCORD Large Wreck,
26940,186,CONCORD Medium Wreck,
26941,186,CONCORD Small Wreck,
26959,828,testing group,
26960,786,Sensor Strength Rig I,
26961,787,Sensor Strength Rig I Blueprint,
26962,786,Sensor Strength Rig II,
26963,787,Sensor Strength Rig II Blueprint,
26964,774,Shield Transporter Rig I,
26965,787,Shield Transporter Rig I Blueprint,
26966,774,Shield Transporter Rig II,
26967,787,Shield Transporter Rig II Blueprint,
26968,226,Fortified Drone Bunker,
26969,668,Amarr Slaver Ship,
26970,668,Amarr Slave Transport Ship,
26971,604,Blood Raider Slave Transport Ship,
26972,186,Faction Drone Wreck,
26973,789,Domination Wang Chunger,
26974,314,Antiviral Drugs,
26975,306,Cargo Warehouse - Crates of Synthetic Oil,
26976,306,Cargo Warehouse - Spiced Wine,
26977,306,Cargo Warehouse - Crates of Silicate Glass,
26978,306,Cargo Warehouse - Quafe Ultra,
26983,1122,Civilian Salvager,
26984,1123,Civilian Salvager Blueprint,
26998,283,Hejilmar the Slave,
27001,669,Stolen Imperial Deacon,
27014,538,Civilian Data Analyzer,
27015,917,Civilian Data Analyzer Blueprint,
27019,538,Civilian Relic Analyzer,
27020,917,Civilian Relic Analyzer Blueprint,
27021,332,Perpetual Motion Unit I,
27022,356,Perpetual Motion Unit I Blueprint,
27023,332,Perpetual Motion Unit II,
27024,356,Perpetual Motion Unit II Blueprint,
27025,333,Datacore - Basic Civilian Tech,
27026,716,Civilian Data Interface,
27027,356,Civilian Data Interface Blueprint,
27028,462,Chondrite,
27029,18,Chalcopyrite,
27038,526,Clay Pigeon,
27039,356,Clay Pigeon Blueprint,
27041,186,Minmatar Large Wreck,
27042,186,Minmatar Medium Wreck,
27043,186,Minmatar Small Wreck,
27044,186,Khanid Large Wreck,
27045,186,Khanid Medium Wreck,
27046,186,Khanid Small Wreck,
27047,186,Caldari Large Wreck,
27048,186,Caldari Medium Wreck,
27049,186,Caldari Small Wreck,
27050,186,Amarr Large Wreck,
27051,186,Amarr Medium Wreck,
27052,186,Amarr Small Wreck,
27053,186,Gallente Large Wreck,
27054,186,Gallente Medium Wreck,
27055,186,Gallente Small Wreck,
27056,186,Thukker Large Wreck,
27057,186,Thukker Medium Wreck,
27058,186,Thukker Small Wreck,
27059,333,Datacore - Elementary Civilian Tech,
27060,186,Mordu Large Wreck,
27061,186,Mordu Medium Wreck,
27062,186,Mordu Small Wreck,
27063,319,Repair Outpost_Weak,
27064,773,Capital Auxiliary Nano Pump I,1730
27065,787,Capital Auxiliary Nano Pump I Blueprint,1719
27066,773,Capital Nanobot Accelerator II,1730
27067,787,Capital Nanobot Accelerator II Blueprint,
27068,773,Small Remote Repair Augmentor I,1206
27069,787,Small Remote Repair Augmentor I Blueprint,1203
27070,738,Inherent Implants 'Noble' Repair Systems RS-601,1514
27071,738,Inherent Implants 'Noble' Remote Armor Repair Systems RA-701,1515
27072,738,Inherent Implants 'Noble' Mechanic MC-801,1516
27073,738,Inherent Implants 'Noble' Repair Proficiency RP-901,1517
27074,738,Inherent Implants 'Noble' Hull Upgrades HG-1001,1518
27075,742,Eifyr and Co. 'Gunslinger' Motion Prediction MR-701,1499
27076,742,Zainou 'Deadeye' Sharpshooter ST-901,1501
27077,742,Inherent Implants 'Lancer' Gunnery RF-901,1501
27078,742,Zainou 'Deadeye' Trajectory Analysis TA-701,1499
27079,742,Inherent Implants 'Lancer' Controlled Bursts CB-701,1499
27080,742,Zainou 'Gnome' Weapon Upgrades WU-1001,1502
27081,742,Eifyr and Co. 'Gunslinger' Surgical Strike SS-901,1501
27082,742,Inherent Implants 'Lancer' Small Energy Turret SE-601,1498
27083,742,Zainou 'Deadeye' Small Hybrid Turret SH-601,1498
27084,742,Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-601,1498
27085,742,Inherent Implants 'Lancer' Medium Energy Turret ME-801,1500
27086,742,Zainou 'Deadeye' Medium Hybrid Turret MH-801,1500
27087,742,Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-801,1500
27088,742,Inherent Implants 'Lancer' Large Energy Turret LE-1001,1502
27089,742,Zainou 'Deadeye' Large Hybrid Turret LH-1001,1502
27090,742,Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1001,1502
27091,746,Zainou 'Gnome' Launcher CPU Efficiency LE-601,1493
27092,746,Zainou 'Deadeye' Missile Bombardment MB-701,1494
27093,746,Zainou 'Deadeye' Missile Projection MP-701,1494
27094,746,Zainou 'Deadeye' Guided Missile Precision GP-801,1495
27095,746,Zainou 'Deadeye' Target Navigation Prediction TN-901,1496
27096,746,Zainou 'Deadeye' Rapid Launch RL-1001,1497
27097,747,Eifyr and Co. 'Rogue' Navigation NN-601,1489
27098,747,Eifyr and Co. 'Rogue' Fuel Conservation FC-801,1491
27099,747,Eifyr and Co. 'Rogue' Evasive Maneuvering EM-701,1490
27100,747,Eifyr and Co. 'Rogue' High Speed Maneuvering HS-901,1492
27101,747,Eifyr and Co. 'Rogue' Acceleration Control AC-601,1489
27102,1229,Inherent Implants 'Highwall' Mining MX-1001,1767
27103,1229,Inherent Implants 'Yeti' Ice Harvesting IH-1001,1767
27104,749,Zainou 'Gnome' Shield Upgrades SU-601,1480
27105,749,Zainou 'Gnome' Shield Management SM-701,1481
27106,749,Zainou 'Gnome' Shield Emission Systems SE-801,1482
27107,749,Zainou 'Gnome' Shield Operation SP-901,1483
27108,746,Zainou 'Snapshot' Light Missiles LM-903,1496
27109,746,Zainou 'Snapshot' Heavy Assault Missiles AM-703,1494
27110,747,Eifyr and Co. 'Rogue' Afterburner AB-610,1489
27111,747,Eifyr and Co. 'Rogue' Afterburner AB-602,1489
27112,747,Eifyr and Co. 'Rogue' Warp Drive Operation WD-610,1489
27113,747,Eifyr and Co. 'Rogue' Warp Drive Operation WD-602,1489
27114,747,Eifyr and Co. 'Rogue' Warp Drive Speed WS-615,1489
27115,747,Eifyr and Co. 'Rogue' Warp Drive Speed WS-605,1489
27116,741,Inherent Implants 'Squire' Capacitor Management EM-805,1509
27117,741,Inherent Implants 'Squire' Capacitor Management EM-801,1509
27118,741,Inherent Implants 'Squire' Capacitor Systems Operation EO-605,1507
27119,741,Inherent Implants 'Squire' Capacitor Systems Operation EO-601,1507
27120,741,Inherent Implants 'Squire' Capacitor Emission Systems ES-701,1508
27121,741,Inherent Implants 'Squire' Capacitor Emission Systems ES-705,1508
27122,741,Inherent Implants 'Squire' Energy Pulse Weapons EP-705,1508
27123,741,Inherent Implants 'Squire' Energy Pulse Weapons EP-701,1508
27124,741,Inherent Implants 'Squire' Energy Grid Upgrades EU-705,1508
27125,741,Inherent Implants 'Squire' Energy Grid Upgrades EU-701,1508
27126,741,Inherent Implants 'Squire' Power Grid Management EG-605,1507
27127,741,Inherent Implants 'Squire' Power Grid Management EG-601,1507
27128,741,Zainou 'Gypsy' Electronics Upgrades EU-605,1507
27129,741,Zainou 'Gypsy' Electronics Upgrades EU-601,1507
27130,1228,Zainou 'Gypsy' Signature Analysis SA-705,1765
27131,1228,Zainou 'Gypsy' Signature Analysis SA-701,1765
27142,741,Zainou 'Gypsy' CPU Management EE-605,1507
27143,741,Zainou 'Gypsy' CPU Management EE-601,1507
27147,1231,Eifyr and Co. 'Alchemist' Biology BY-805,1775
27148,1231,Eifyr and Co. 'Alchemist' Biology BY-810,1775
27149,1229,Inherent Implants 'Highwall' Mining Upgrades MU-1003,1767
27150,1229,Inherent Implants 'Highwall' Mining Upgrades MU-1005,1767
27151,1229,Inherent Implants 'Highwall' Mining Upgrades MU-1001,1767
27152,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPA-1,
27153,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPB-1,
27154,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPC-1,
27155,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPD-1,
27156,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPE-1,
27157,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPA-0,
27158,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPA-2,
27159,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPB-2,
27160,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPB-0,
27161,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPC-2,
27162,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPC-0,
27163,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPD-2,
27164,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPD-0,
27165,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPE-2,
27166,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPE-0,
27167,743,Zainou 'Beancounter' Industry BX-802,1504
27169,1229,Zainou 'Beancounter' Reprocessing RX-802,1768
27170,743,Zainou 'Beancounter' Industry BX-801,1504
27171,743,Zainou 'Beancounter' Industry BX-804,1504
27174,1229,Zainou 'Beancounter' Reprocessing RX-804,1768
27175,1229,Zainou 'Beancounter' Reprocessing RX-801,1768
27176,748,Zainou 'Beancounter' Metallurgy MY-703,1485
27177,748,Zainou 'Beancounter' Research RR-603,1484
27178,748,Zainou 'Beancounter' Science SC-803,1486
27179,748,Zainou 'Beancounter' Research RR-605,1484
27180,748,Zainou 'Beancounter' Research RR-601,1484
27181,748,Zainou 'Beancounter' Metallurgy MY-705,1485
27182,748,Zainou 'Beancounter' Metallurgy MY-701,1485
27184,748,Zainou 'Beancounter' Science SC-805,1486
27185,748,Zainou 'Beancounter' Science SC-801,1486
27186,1230,Poteque 'Prospector' Astrometric Pinpointing AP-606,1770
27187,1230,Poteque 'Prospector' Astrometric Acquisition AQ-706,1771
27188,1230,Poteque 'Prospector' Astrometric Rangefinding AR-806,1772
27190,1230,Poteque 'Prospector' Astrometric Pinpointing AP-610,1770
27191,1230,Poteque 'Prospector' Astrometric Pinpointing AP-602,1770
27192,1230,Poteque 'Prospector' Astrometric Acquisition AQ-710,1771
27193,1230,Poteque 'Prospector' Astrometric Acquisition AQ-702,1771
27194,1230,Poteque 'Prospector' Astrometric Rangefinding AR-810,1772
27195,1230,Poteque 'Prospector' Astrometric Rangefinding AR-802,1772
27196,1230,Poteque 'Prospector' Archaeology AC-905,1773
27197,1230,Poteque 'Prospector' Hacking HC-905,1773
27198,1230,Poteque 'Prospector' Salvaging SV-905,1773
27202,186,Convoy Wreck,
27203,283,Production Assistant,
27204,746,Hardwiring - Zainou 'Sharpshooter' ZMX100,
27205,746,Hardwiring - Zainou 'Sharpshooter' ZMX1000,
27206,746,Hardwiring - Zainou 'Sharpshooter' ZMX10,
27223,741,Inherent Implants 'Sergeant' XE4,
27224,740,Zainou 'Gypsy' Target Painting TG-903,1513
27225,740,Zainou 'Gypsy' Electronic Warfare EW-905,1513
27226,740,Zainou 'Gypsy' Electronic Warfare EW-901,1513
27227,1228,Zainou 'Gypsy' Long Range Targeting LT-805,1766
27229,1228,Zainou 'Gypsy' Long Range Targeting LT-801,1766
27230,740,Zainou 'Gypsy' Propulsion Jamming PJ-805,1512
27231,740,Zainou 'Gypsy' Propulsion Jamming PJ-801,1512
27232,740,Zainou 'Gypsy' Sensor Linking SL-905,1513
27233,740,Zainou 'Gypsy' Sensor Linking SL-901,1513
27234,740,Zainou 'Gypsy' Weapon Disruption WD-905,1513
27235,740,Zainou 'Gypsy' Weapon Disruption WD-901,1513
27236,740,Zainou 'Gypsy' Target Painting TG-905,1513
27237,740,Zainou 'Gypsy' Target Painting TG-901,1513
27238,1229,Eifyr and Co. 'Alchemist' Gas Harvesting GH-803,1768
27239,1229,Eifyr and Co. 'Alchemist' Gas Harvesting GH-805,1768
27240,1229,Eifyr and Co. 'Alchemist' Gas Harvesting GH-801,1768
27243,746,Zainou 'Snapshot' Defender Missiles DM-805,1495
27244,746,Zainou 'Snapshot' Defender Missiles DM-801,1495
27245,746,Zainou 'Snapshot' Heavy Assault Missiles AM-705,1494
27246,746,Zainou 'Snapshot' Heavy Assault Missiles AM-701,1494
27247,746,Zainou 'Snapshot' FOF Explosion Radius FR-1005,1497
27249,746,Zainou 'Snapshot' FOF Explosion Radius FR-1001,1497
27250,746,Zainou 'Snapshot' Heavy Missiles HM-705,1494
27251,746,Zainou 'Snapshot' Heavy Missiles HM-701,1494
27252,746,Zainou 'Snapshot' Light Missiles LM-905,1496
27253,746,Zainou 'Snapshot' Light Missiles LM-901,1496
27254,746,Zainou 'Snapshot' Rockets RD-905,1496
27255,746,Zainou 'Snapshot' Rockets RD-901,1496
27256,746,Zainou 'Snapshot' Torpedoes TD-605,1493
27257,746,Zainou 'Snapshot' Torpedoes TD-601,1493
27258,746,Zainou 'Snapshot' Cruise Missiles CM-605,1493
27259,746,Zainou 'Snapshot' Cruise Missiles CM-601,1493
27260,1230,Poteque 'Prospector' Environmental Analysis EY-1005,1774
27264,748,Hardwiring - Zainou 'Beancounter' CI-1,
27265,748,Hardwiring - Poteque Pharmaceuticals 'Draftsman' GI-1,
27267,748,Hardwiring - Zainou 'Beancounter' CI-2,
27268,748,Hardwiring - Poteque Pharmaceuticals 'Draftsman' GI-2,
27269,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPA-X,
27270,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPB-X,
27271,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPC-X,
27272,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPD-X,
27273,750,Hardwiring - Poteque Pharmaceuticals 'Consul' PPE-X,
27274,526,Villard Wheel,
27275,306,Civilian Transport Ship Wreck,
27276,521,Black Box,
27277,1207,Data Storage Device,
27278,1207,Ancient Ship Structure,
27279,494,Flimsy Pirate Base,
27280,383,Angel Basic Defense Battery,
27281,383,Blood Basic Defense Battery,
27282,383,Tower Basic Sentry Angel,
27283,383,Tower Basic Sentry Bloodraider,
27284,383,Tower Basic Sentry Guristas,
27285,383,Tower Basic Sentry Serpentis,
27286,186,Pirate Drone Wreck,
27287,818,Pirate Capsule,
27288,306,Habitation_Module_Container,
27290,319,Minmatar Starbase Control Tower_Tough_Good Loot_testing,
27292,494,Unstable Particle Acceleration Superstructure,
27293,805,Brute Render Alvi,
27294,526,Christer Fuglesang's Medal,
27295,829,Angel Resilient Destroyer,
27296,829,Blood Resilient Destroyer,
27297,829,Guristas Resilient Destroyer,
27298,829,Serpentis Resilient Destroyer,
27299,31,Civilian Amarr Shuttle,
27300,111,Civilian Amarr Shuttle Blueprint,
27301,31,Civilian Caldari Shuttle,
27302,111,Civilian Caldari Shuttle Blueprint,
27303,31,Civilian Gallente Shuttle,
27304,111,Civilian Gallente Shuttle Blueprint,
27305,31,Civilian Minmatar Shuttle,
27306,111,Civilian Minmatar Shuttle Blueprint,
27308,306,Abandoned Wreck,
27309,1162,Station Warehouse Container Blueprint,1008
27313,387,Guristas Inferno Rocket,999
27315,387,Caldari Navy Inferno Rocket,999
27317,387,Dread Guristas Inferno Rocket,999
27319,387,Guristas Mjolnir Rocket,999
27321,387,Caldari Navy Mjolnir Rocket,999
27323,387,Dread Guristas Mjolnir Rocket,999
27325,387,Guristas Nova Rocket,999
27327,387,Caldari Navy Nova Rocket,999
27329,387,Dread Guristas Nova Rocket,999
27331,387,Guristas Scourge Rocket,999
27333,387,Caldari Navy Scourge Rocket,999
27335,387,Dread Guristas Scourge Rocket,999
27337,89,Guristas Mjolnir Torpedo,1000
27339,89,Caldari Navy Mjolnir Torpedo,1000
27341,89,Dread Guristas Mjolnir Torpedo,1000
27343,89,Guristas Scourge Torpedo,1000
27345,89,Caldari Navy Scourge Torpedo,1000
27347,89,Dread Guristas Scourge Torpedo,1000
27349,89,Guristas Inferno Torpedo,1000
27351,89,Caldari Navy Inferno Torpedo,1000
27353,384,Guristas Scourge Light Missile,998
27355,89,Dread Guristas Inferno Torpedo,1000
27357,89,Guristas Nova Torpedo,1000
27359,89,Caldari Navy Nova Torpedo,1000
27361,384,Caldari Navy Scourge Light Missile,998
27363,89,Dread Guristas Nova Torpedo,1000
27365,384,Dread Guristas Scourge Light Missile,998
27367,384,Guristas Inferno Light Missile,998
27369,384,Dread Guristas Inferno Light Missile,998
27371,384,Caldari Navy Inferno Light Missile,998
